Instance,Population Size,Mutation Probability,Total Fleet Size,Min Bus Line/Ind,Min Vertices in a Bus Line,Max Vertices in a Bus Line,Transfer Penalty,Unreached Stop Penalty,Best Solution Operator Cost,Best Solution Passanger Cost,Total Time
Mumford0,200,0.1,15,6,8,4,15,120,17.2,0.9156681084872574,471.65275955200195
Mumford0,200,0.1,15,6,8,4,15,120,17.6,1.188946691606266,449.1074845790863
Mumford0,200,0.1,15,6,8,4,15,120,20.3,0.995353051204115,477.26461815834045
Mumford0,200,0.1,15,6,8,4,15,120,17.85,0.7523527004909983,562.5506498813629
Mumford0,200,0.1,15,6,8,4,15,120,19.333333333333336,0.8202741407528642,585.6238193511963
Mumford0,200,0.1,15,6,8,4,15,120,18.666666666666664,0.9381283610007014,495.83780455589294
Mumford0,200,0.1,15,6,8,4,15,120,19.333333333333332,0.8164893617021277,551.370447397232
Mumford0,200,0.1,15,6,8,4,15,120,17.2,1.4189268178629881,577.9911932945251
Mumford0,200,0.1,15,6,8,4,15,120,19.6,0.9258534019172318,577.9194884300232
Mumford0,200,0.1,15,6,8,4,15,120,17.4,1.5177694645779751,573.8425464630127
Mumford0,200,0.1,15,6,8,4,15,120,17.866666666666667,1.126461304652794,558.8883080482483
Mumford0,200,0.1,15,6,8,4,15,120,19.6,0.8493979424830489,599.7079586982727
Mumford0,200,0.1,15,6,8,4,15,120,17.400000000000002,1.4849777881692776,575.0293672084808
Mumford0,200,0.1,15,6,8,4,15,120,21.6,1.1705050268880055,562.0856428146362
Mumford0,200,0.1,15,6,8,4,15,120,19.266666666666666,0.7026829553425298,464.0229842662811
Mumford0,200,0.1,15,6,8,4,15,120,18.666666666666664,0.841068505962123,513.3835637569427
Mumford0,200,0.1,15,6,8,4,15,120,17.2,0.9065934065934066,600.3232688903809
Mumford0,200,0.1,15,6,8,4,15,120,19.8,0.5579699555763385,549.1742770671844
Mumford0,200,0.1,15,6,8,4,15,120,18.666666666666664,1.2936199438859013,599.8389501571655
Mumford0,200,0.1,15,6,8,4,15,120,17.0,0.6401537292494739,566.1427435874939
Mumford0,200,0.1,15,6,8,4,15,120,17.0,1.1922346270750526,575.9579429626465
Mumford0,200,0.1,15,6,8,4,15,120,18.766666666666666,0.8150426700958616,555.9893982410431
Mumford0,200,0.1,15,6,8,4,15,120,19.200000000000003,1.218742693476736,568.5569701194763
Mumford0,200,0.1,15,6,8,4,15,120,17.1,0.8040390460603226,512.2815823554993
Mumford0,200,0.1,15,6,8,4,15,120,17.266666666666666,1.0488952536824878,584.528566122055
Mumford0,200,0.1,15,6,8,4,15,120,19.6,1.1627893383212533,571.475165605545
Mumford0,200,0.1,15,6,8,4,15,120,17.6,1.2372574234276361,623.8370368480682
Mumford0,200,0.1,15,6,8,4,15,120,21.6,0.9835018704699556,578.8458604812622
Mumford0,200,0.1,15,6,8,4,15,120,17.2,1.0245937573065234,527.9381725788116
Mumford0,200,0.1,15,6,8,4,15,120,16.8,1.088584288052373,585.8298275470734
Mumford0,200,0.1,15,6,8,4,15,120,19.4,1.0569762684124386,583.1337797641754
Mumford0,200,0.1,15,6,8,4,15,120,21.6,0.6011515080664017,624.9194910526276
Mumford0,200,0.1,15,6,8,4,15,120,20.55,1.4344312602291325,468.2723081111908
Mumford0,200,0.1,15,6,8,4,15,120,19.2,0.7566781622632687,539.2827603816986
Mumford0,200,0.1,15,6,8,4,15,120,19.9,1.1724631751227497,515.4816565513611
Mumford0,200,0.1,15,6,8,4,15,120,19.400000000000002,0.8175561140986672,572.4642593860626
Mumford0,200,0.1,15,6,8,4,15,120,17.2,0.800283493102642,546.9541001319885
Mumford0,200,0.1,15,6,8,4,15,120,19.200000000000003,1.1634907645545944,626.8858771324158
Mumford0,200,0.1,15,6,8,4,15,120,17.333333333333332,0.7119037877016601,460.7585201263428
Mumford0,200,0.1,15,6,8,4,15,120,17.933333333333334,0.9507248071077858,565.5189728736877
Mumford0,200,0.1,15,6,8,4,15,120,16.8,1.0314180500350714,515.076630115509
Mumford0,200,0.1,15,6,8,4,15,120,16.799999999999997,1.175517301847089,631.8144643306732
Mumford0,200,0.1,15,6,8,4,15,120,17.433333333333334,0.9600917699321955,587.5294148921967
Mumford0,200,0.1,15,6,8,4,15,120,19.3,0.9045914192190788,565.8583261966705
Mumford0,200,0.1,15,6,8,4,15,120,18.6,1.2489478606499884,549.5685858726501
Mumford0,200,0.1,15,6,8,4,15,120,17.2,0.8779810614916997,536.8596696853638
Mumford0,200,0.1,15,6,8,4,15,120,19.400000000000002,0.8300210427870003,554.581821680069
Mumford0,200,0.1,15,6,8,4,15,120,19.6,1.00879705400982,593.9441637992859
Mumford0,200,0.1,15,6,8,4,15,120,18.400000000000002,0.9179769698386719,562.3334066867828
Mumford0,200,0.1,15,6,8,4,15,120,17.2,0.5299859714753332,606.0072395801544
Mumford0,200,0.1,15,6,8,4,15,120,17.0,0.6983867196633154,528.0490145683289
Mumford0,200,0.1,15,6,8,4,15,120,17.333333333333336,1.427022445639467,601.5465552806854
Mumford0,200,0.1,15,6,8,4,15,120,19.200000000000003,1.1644406125789104,578.2915825843811
Mumford0,200,0.1,15,6,8,4,15,120,19.200000000000003,0.958250526069675,566.6205549240112
Mumford0,200,0.1,15,6,8,4,15,120,17.516666666666666,1.1331833060556464,579.2596843242645
Mumford0,200,0.1,15,6,8,4,15,120,22.3,0.9149666822539163,607.6709518432617
Mumford0,200,0.1,15,6,8,4,15,120,16.799999999999997,0.913578442833762,583.2441534996033
Mumford0,200,0.1,15,6,8,4,15,120,18.53333333333333,1.0802548515314472,594.1675820350647
Mumford0,200,0.1,15,6,8,4,15,120,18.55,1.0810877951835398,554.5407798290253
Mumford0,200,0.1,15,6,8,4,15,120,19.200000000000003,0.8356470657002572,577.0549671649933
Mumford0,200,0.1,15,6,8,4,15,120,17.866666666666667,0.6070844049567454,549.6803114414215
Mumford0,200,0.1,15,6,8,4,15,120,15.799999999999999,0.8797346270750526,597.058985710144
Mumford0,200,0.1,15,6,8,4,15,120,17.2,0.6369388590133271,576.1314606666565
Mumford0,200,0.1,15,6,8,4,15,120,19.900000000000002,1.0195814823474398,520.5051081180573
Mumford0,200,0.1,15,6,8,4,15,120,19.4,1.1138940846387655,617.2047126293182
Mumford0,200,0.1,15,6,8,4,15,120,19.6,0.8362462006079028,525.8634126186371
Mumford0,200,0.1,15,6,8,4,15,120,19.200000000000003,0.7349777881692775,595.0272147655487
Mumford0,200,0.1,15,6,8,4,15,120,17.0,1.4775835866261398,517.8815052509308
Mumford0,200,0.1,15,6,8,4,15,120,18.933333333333334,1.011968085106383,537.2875230312347
Mumford0,200,0.1,15,6,8,4,15,120,17.200000000000003,1.1464957914426,567.8934891223907
Mumford0,200,0.1,15,6,8,4,15,120,16.183333333333334,1.3342149871405191,598.4760134220123
Mumford0,200,0.1,15,6,8,4,15,120,16.916666666666664,1.1027151040448913,496.9178807735443
Mumford0,200,0.1,15,6,8,4,15,120,17.2,1.3265139116202946,548.9835443496704
Mumford0,200,0.1,15,6,8,4,15,120,19.7,1.1009176993219547,596.8837249279022
Mumford0,200,0.1,15,6,8,4,15,120,19.200000000000003,0.553235328501286,526.6757545471191
Mumford0,200,0.1,15,6,8,4,15,120,17.6,0.8379997661912556,611.8835597038269
Mumford0,200,0.1,15,6,8,4,15,120,17.8,0.8243657937806874,501.04335045814514
Mumford0,200,0.1,15,6,8,4,15,120,19.200000000000003,0.8144873743277998,558.8891806602478
Mumford0,200,0.1,15,6,8,4,15,120,16.8,1.3383066401683423,605.156697511673
Mumford0,200,0.1,15,6,8,4,15,120,20.5,0.9077039981295301,513.4486055374146
Mumford0,200,0.1,15,6,8,4,15,120,17.5,0.9935264203881226,564.0868990421295
Mumford0,200,0.1,15,6,8,4,15,120,16.8,0.6041910217442132,558.2937240600586
Mumford0,200,0.1,15,6,8,4,15,120,20.1,0.8353840308627543,528.9196445941925
Mumford0,200,0.1,15,6,8,4,15,120,15.7,0.7870294599018003,522.1898918151855
Mumford0,200,0.1,15,6,8,4,15,120,17.8,1.1260959784895954,559.7729303836823
Mumford0,200,0.1,15,6,8,4,15,120,17.85,0.8670505026888006,562.340487241745
Mumford0,200,0.1,15,6,8,4,15,120,17.433333333333334,1.0206628477905073,505.6570427417755
Mumford0,200,0.1,15,6,8,4,15,120,19.933333333333334,0.921148000935235,505.0765025615692
Mumford0,200,0.1,15,6,8,4,15,120,16.799999999999997,0.7039835164835165,580.3993425369263
Mumford0,200,0.1,15,6,8,4,15,120,18.266666666666666,0.969487958849661,567.5320129394531
Mumford0,200,0.1,15,6,8,4,15,120,17.2,1.026098901098901,492.7228698730469
Mumford0,200,0.1,15,6,8,4,15,120,18.200000000000003,1.0433715220949265,558.0597155094147
Mumford0,200,0.1,15,6,8,4,15,120,17.6,0.6318096796820201,542.0343904495239
Mumford0,200,0.1,15,6,8,4,15,120,16.799999999999997,1.1193155249006312,587.0871353149414
Mumford0,200,0.1,15,6,8,4,15,120,19.6,1.0733721066167874,574.3865282535553
Mumford0,200,0.1,15,6,8,4,15,120,18.6,0.9760053776011223,797.229992389679
Mumford0,200,0.1,15,6,8,4,15,120,19.266666666666666,0.9374123217208323,599.6856551170349
Mumford0,200,0.1,15,6,8,4,15,120,19.433333333333334,1.196779284545242,604.1400167942047
Mumford0,200,0.1,15,6,8,4,15,120,19.6,0.8874795417348609,613.5265073776245
Mumford0,200,0.1,15,6,8,4,15,120,16.933333333333334,0.7151917231704465,573.1173689365387
